page,transdate,team,transaction
/players/tavon-austin-austita01,06/03/2022,Buffalo (NFL),Signed
/players/tavon-austin-austita01,09/30/2021,Jacksonville (NFL),Activated from Injured Reserve
/players/tavon-austin-austita01,09/27/2021,Jacksonville (NFL),Designated for return from Injured Reserve
/players/tavon-austin-austita01,09/02/2021,Jacksonville (NFL),Placed on Injured Reserve (Quadriceps)
/players/tavon-austin-austita01,08/06/2021,Jacksonville (NFL),Signed
/players/tavon-austin-austita01,12/01/2020,Green Bay (NFL),Signed
/players/tavon-austin-austita01,10/27/2020,San Francisco (NFL),Released from Injured Reserve
/players/tavon-austin-austita01,09/03/2020,San Francisco (NFL),Placed on Injured Reserve (Knee)
/players/tavon-austin-austita01,08/15/2020,San Francisco (NFL),Signed
/players/tavon-austin-austita01,03/20/2019,Dallas (NFL),Re-signed
/players/tavon-austin-austita01,04/28/2018,LA Rams (NFL),Traded to the Dallas Cowboys
/players/tavon-austin-austita01,06/13/2013,St. Louis (NFL),Signed
/players/ej-manuel-manueej01,05/13/2019,Kansas City (NFL),Placed on the Reserve/Retired List
/players/ej-manuel-manueej01,02/26/2019,Kansas City (NFL),Signed
/players/ej-manuel-manueej01,09/01/2018,Oakland (NFL),Released
/players/ej-manuel-manueej01,03/22/2018,Oakland (NFL),Re-signed
/players/ej-manuel-manueej01,03/20/2017,Oakland (NFL),Signed
/players/ej-manuel-manueej01,06/14/2013,Buffalo (NFL),Signed
/players/tyler-eifert-eiferty01,03/30/2020,Jacksonville (NFL),Signed
/players/tyler-eifert-eiferty01,03/18/2019,Cincinnati (NFL),Re-signed
/players/tyler-eifert-eiferty01,10/05/2018,Cincinnati (NFL),Placed on Injured Reserve (Ankle)
/players/tyler-eifert-eiferty01,03/18/2018,Cincinnati (NFL),Re-signed
/players/tyler-eifert-eiferty01,10/12/2017,Cincinnati (NFL),Placed on Injured Reserve (Back)
/players/tyler-eifert-eiferty01,12/26/2016,Cincinnati (NFL),Placed on Injured Reserve (Back)
