index,year,round,pick,team_x,player,page,position,season,transdate,team_y,transaction,trans_year,trans_month,end_year,tran_month,season_num
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2013,,,,,,,9.0,1
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2014,,,,,,,9.0,2
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2015,,,,,,,9.0,3
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2016,,,,,,,9.0,4
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2017,,,,,,,9.0,5
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2018,,,,,,,9.0,6
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2019,,,,,,,9.0,7
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2020,2020-09-03,San Francisco (NFL),Placed on Injured Reserve (Knee),2020.0,9.0,,9.0,8
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2021,2021-09-02,Jacksonville (NFL),Placed on Injured Reserve (Quadriceps),2021.0,9.0,,9.0,9
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2013,,,,,,,9.0,1
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2014,,,,,,,9.0,2
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2015,,,,,,,9.0,3
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2016,,,,,,,9.0,4
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2017,,,,,,,9.0,5
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2018,,,,,,,9.0,6
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2019,,,,,,,9.0,7
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2020,,,,,,,9.0,8
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2021,,,,,,,9.0,9
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2013,,,,,,,9.0,1
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2014,2014-09-10,Cincinnati (NFL),Placed on Injured Reserve (Designated for Return) (Elbow),2014.0,9.0,,9.0,2
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2015,,,,,,,9.0,3
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2016,2016-12-26,Cincinnati (NFL),Placed on Injured Reserve (Back),2016.0,12.0,,12.0,4
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2017,2017-10-12,Cincinnati (NFL),Placed on Injured Reserve (Back),2017.0,10.0,,10.0,5
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2018,2018-10-05,Cincinnati (NFL),Placed on Injured Reserve (Ankle),2018.0,10.0,,10.0,6
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2019,,,,,,,9.0,7
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2020,,,,,,,9.0,8
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2021,,,,,,,9.0,9
26,2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2013,,,,,,,9.0,1
26,2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2014,,,,,,,9.0,2
26,2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2015,,,,,,,9.0,3
26,2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2016,,,,,,,9.0,4
26,2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2017,,,,,,,9.0,5
26,2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2018,,,,,,,9.0,6
26,2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2019,,,,,,,9.0,7
26,2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2020,,,,,,,9.0,8
26,2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2021,2021-12-18,Arizona (NFL),Placed on Injured Reserve (Knee),2021.0,12.0,,12.0,9
28,2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2013,,,,,,,9.0,1
28,2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2014,,,,,,,9.0,2
28,2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2015,,,,,,,9.0,3
28,2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2016,,,,,,,9.0,4
28,2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2017,,,,,,,9.0,5
28,2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2018,,,,,,,9.0,6
28,2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2019,,,,,,,9.0,7
28,2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2020,,,,,,,9.0,8
28,2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2021,,,,,,,9.0,9
33,2013,2,34,Tennessee Titans,Justin Hunter,/players/justin-hunter-hunteju01,WR,2013,,,,,,,9.0,1
33,2013,2,34,Tennessee Titans,Justin Hunter,/players/justin-hunter-hunteju01,WR,2014,2014-12-02,Tennessee (NFL),Placed on Injured Reserve (Spleen),2014.0,12.0,,12.0,2
33,2013,2,34,Tennessee Titans,Justin Hunter,/players/justin-hunter-hunteju01,WR,2015,2015-11-17,Tennessee (NFL),Placed on Injured Reserve (Ankle),2015.0,11.0,,11.0,3
33,2013,2,34,Tennessee Titans,Justin Hunter,/players/justin-hunter-hunteju01,WR,2016,,,,,,,9.0,4
33,2013,2,34,Tennessee Titans,Justin Hunter,/players/justin-hunter-hunteju01,WR,2017,,,,,,,9.0,5
33,2013,2,34,Tennessee Titans,Justin Hunter,/players/justin-hunter-hunteju01,WR,2018,2018-12-04,Pittsburgh (NFL),Placed on Injured Reserve (Shoulder),2018.0,12.0,,12.0,6
33,2013,2,34,Tennessee Titans,Justin Hunter,/players/justin-hunter-hunteju01,WR,2019,,,,,,,9.0,7
33,2013,2,34,Tennessee Titans,Justin Hunter,/players/justin-hunter-hunteju01,WR,2020,,,,,,,9.0,8
33,2013,2,34,Tennessee Titans,Justin Hunter,/players/justin-hunter-hunteju01,WR,2021,,,,,,,9.0,9
34,2013,2,35,Philadelphia Eagles,Zach Ertz,/players/zach-ertz-ertzza01,TE,2013,,,,,,,9.0,1
34,2013,2,35,Philadelphia Eagles,Zach Ertz,/players/zach-ertz-ertzza01,TE,2014,,,,,,,9.0,2
34,2013,2,35,Philadelphia Eagles,Zach Ertz,/players/zach-ertz-ertzza01,TE,2015,,,,,,,9.0,3
34,2013,2,35,Philadelphia Eagles,Zach Ertz,/players/zach-ertz-ertzza01,TE,2016,,,,,,,9.0,4
34,2013,2,35,Philadelphia Eagles,Zach Ertz,/players/zach-ertz-ertzza01,TE,2017,,,,,,,9.0,5
34,2013,2,35,Philadelphia Eagles,Zach Ertz,/players/zach-ertz-ertzza01,TE,2018,,,,,,,9.0,6
