player,1,2,3,4,5,6,7,8,9
A'Shawn Robinson,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,,,
A.J. Brown,Healthy,Healthy,Chest,,,,,,
A.J. Cann,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,
A.J. Derby,Undisclosed,Healthy,Shoulder,Foot,Healthy,Healthy,Healthy,,
A.J. Epenesa,Healthy,Healthy,,,,,,,
A.J. Klein,,Healthy,Healthy,Healthy,Groin,Healthy,Healthy,Healthy,
A.J. McCarron,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,
A.J. Terrell,Healthy,Healthy,,,,,,,
AJ Dillon,Healthy,Healthy,,,,,,,
Aaron Banks,Healthy,,,,,,,,
Aaron Burbridge,Healthy,Hamstring,Hamstring,Healthy,Healthy,Healthy,,,
Aaron Colvin,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,Healthy,
Aaron Dobson,,Hamstring,Ankle,Healthy,Hamstring,Healthy,Healthy,Healthy,
Aaron Donald,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Aaron Jones,Healthy,Knee,Healthy,Healthy,Healthy,,,,
Aaron Lynch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Aaron Mellette,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Aaron Murray,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Aaron Ripkowski,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Aaron Robinson,Core Muscle,,,,,,,,
Aaron Wallace,Healthy,Back,Healthy,Hamstring,Healthy,Healthy,,,
Ace Sanders,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Adam Bisnowaty,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Adam Gotsis,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,,,
