index,year,round,pick,team_x,player,page,position,season,transdate,team_y,transaction,trans_year,trans_month,tran_month,season_num
0,2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2014,,,,,,9.0,2
0,2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2015,,,,,,9.0,3
0,2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2016,,,,,,9.0,4
0,2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2017,,,,,,9.0,5
0,2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2018,,,,,,9.0,6
0,2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2019,,,,,,9.0,7
0,2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2020,,,,,,9.0,8
0,2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2021,2021-02-06,Kansas City (NFL),Placed on Injured Reserve (Achilles),2021.0,2.0,2.0,8
1,2013,1,2,Jacksonville Jaguars,Luke Joeckel,/players/luke-joeckel-joecklu01,OT,2014,,,,,,9.0,2
1,2013,1,2,Jacksonville Jaguars,Luke Joeckel,/players/luke-joeckel-joecklu01,OT,2015,,,,,,9.0,3
1,2013,1,2,Jacksonville Jaguars,Luke Joeckel,/players/luke-joeckel-joecklu01,OT,2016,2016-10-04,Jacksonville (NFL),Placed on Injured Reserve (Knee),2016.0,10.0,10.0,4
1,2013,1,2,Jacksonville Jaguars,Luke Joeckel,/players/luke-joeckel-joecklu01,OT,2017,,,,,,9.0,5
1,2013,1,2,Jacksonville Jaguars,Luke Joeckel,/players/luke-joeckel-joecklu01,OT,2018,,,,,,9.0,6
1,2013,1,2,Jacksonville Jaguars,Luke Joeckel,/players/luke-joeckel-joecklu01,OT,2019,,,,,,9.0,7
1,2013,1,2,Jacksonville Jaguars,Luke Joeckel,/players/luke-joeckel-joecklu01,OT,2020,,,,,,9.0,8
1,2013,1,2,Jacksonville Jaguars,Luke Joeckel,/players/luke-joeckel-joecklu01,OT,2021,,,,,,9.0,9
2,2013,1,3,Miami Dolphins,Dion Jordan,/players/dion-jordan-jordadi01,DE,2014,,,,,,9.0,2
2,2013,1,3,Miami Dolphins,Dion Jordan,/players/dion-jordan-jordadi01,DE,2015,,,,,,9.0,3
2,2013,1,3,Miami Dolphins,Dion Jordan,/players/dion-jordan-jordadi01,DE,2016,,,,,,9.0,4
2,2013,1,3,Miami Dolphins,Dion Jordan,/players/dion-jordan-jordadi01,DE,2017,,,,,,9.0,5
2,2013,1,3,Miami Dolphins,Dion Jordan,/players/dion-jordan-jordadi01,DE,2018,,,,,,9.0,6
2,2013,1,3,Miami Dolphins,Dion Jordan,/players/dion-jordan-jordadi01,DE,2019,,,,,,9.0,7
2,2013,1,3,Miami Dolphins,Dion Jordan,/players/dion-jordan-jordadi01,DE,2020,,,,,,9.0,8
2,2013,1,3,Miami Dolphins,Dion Jordan,/players/dion-jordan-jordadi01,DE,2021,,,,,,9.0,9
3,2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2014,,,,,,9.0,2
3,2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2015,,,,,,9.0,3
3,2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2016,,,,,,9.0,4
3,2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2017,,,,,,9.0,5
3,2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2018,,,,,,9.0,6
3,2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2019,,,,,,9.0,7
