player,injury,start,end,season,missed,ir_sequence
/players/aaron-burbridge-burbraa01,Hamstring,2017-09-02,2018-02-24,2017,16,1
/players/aaron-burbridge-burbraa01,Hamstring,2018-09-02,2018-09-12,2018,1,2
/players/aaron-colvin-colviaa01,Ankle,2016-12-23,2017-02-24,2016,2,1
/players/aaron-dobson-dobsoaa01,Ankle,2015-11-26,2016-02-24,2015,8,2
/players/aaron-dobson-dobsoaa01,Hamstring,2014-12-04,2015-02-24,2014,7,1
/players/aaron-dobson-dobsoaa01,Hamstring,2017-09-02,2017-09-06,2017,NULL,3
/players/aaron-jones-jonesaa02,Knee,2018-12-18,2019-02-24,2018,2,1
/players/aaron-mellette-melleaa01,Knee,2013-09-11,2014-02-24,2013,15,1
/players/aaron-robinson-robinaa01,Knee,2022-10-04,2023-02-24,2022,15,1
/players/aaron-wallace-wallaaa02,Back,2017-09-20,2018-02-24,2017,16,1
/players/aaron-wallace-wallaaa02,Hamstring,2019-08-23,2019-08-27,2019,NULL,2
/players/abraham-lucas-lucasab01,Knee,2023-09-13,2023-11-30,2023,10,1
/players/adam-gotsis-gotsiad01,Knee,2019-12-24,2020-02-24,2019,1,1
/players/adam-shaheen-shahead01,Ankle,2018-09-02,2018-11-18,2018,9,1
/players/adam-shaheen-shahead01,Foot,2019-11-30,2020-02-24,2019,4,2
/players/adam-shaheen-shahead01,Knee,2022-08-16,2023-02-24,2022,NULL,3
/players/adam-trautman-trautad01,Knee,2021-11-23,2021-12-19,2021,3,1
/players/ade-aruna-arunaad01,Knee,2018-08-20,2019-02-24,2018,16,1
/players/ade-aruna-arunaad01,Knee,2019-09-01,2019-09-19,2019,NULL,2
/players/adetokunbo-ogundeji-ogundad01,Foot,2023-08-15,2024-02-24,2023,17,1
/players/adolphus-washington-washiad01,Knee,2018-11-23,2019-02-24,2018,6,1
/players/adoree-jackson-jacksad01,Knee,2020-09-14,2020-12-20,2020,8,1
/players/adrian-colbert-colbead01,Ankle,2018-10-23,2019-02-24,2018,9,1
/players/adrian-colbert-colbead01,Hamstring,2019-09-01,2019-11-24,2019,NULL,2
/players/adrian-colbert-colbead01,Shoulder,2020-11-04,2020-12-20,2020,5,3
/players/adrian-colbert-colbead01,Undisclosed,2023-08-21,2023-08-29,2023,NULL,4
/players/ahkello-witherspoon-witheah01,Hamstring,2022-12-03,2023-02-24,2022,6,2
/players/ahkello-witherspoon-witheah01,Knee,2018-12-19,2019-02-24,2018,2,1
/players/aj-brown-brownaj01,Chest,2021-11-27,2021-12-23,2021,3,1
/players/aj-cann-cannaj01,Knee,2021-10-04,2022-02-24,2021,13,1
/players/aj-derby-derbyaj01,Foot,2018-12-04,2019-02-24,2018,4,3
/players/aj-derby-derbyaj01,Shoulder,2017-11-20,2017-12-24,2017,1,2
/players/aj-derby-derbyaj01,Undisclosed,2015-08-05,2016-02-24,2015,NULL,1
/players/aj-klein-kleinaj01,Groin,2017-12-19,2018-02-24,2017,4,1
/players/aj-mccarron-mccaraj01,Knee,2021-08-24,2022-02-24,2021,17,1
/players/akayleb-evans-evansak01,Concussion,2022-12-07,2023-02-24,2022,6,1
/players/akeem-davis-davisak02,Foot,2021-11-09,2022-02-24,2021,9,1
/players/akeem-king-kingak01,Foot,2016-09-03,2017-02-24,2016,19,1
/players/akeem-spence-spencak01,Ankle,2015-12-26,2016-02-24,2015,2,1
/players/alan-bonner-bonneal01,Foot,2014-07-28,2015-02-24,2014,NULL,2
/players/alan-bonner-bonneal01,Hamstring,2013-08-31,2014-02-24,2013,16,1
/players/albert-okwuegbunam-okwueal01,Hamstring,2021-10-09,2021-10-31,2021,3,2
/players/albert-okwuegbunam-okwueal01,Hamstring,2023-12-30,2024-02-24,2023,3,3
/players/albert-okwuegbunam-okwueal01,Knee,2020-11-10,2021-02-24,2020,8,1
/players/alec-ogletree-ogletal01,"Designated for Return",2015-10-27,2016-02-24,2015,10,1
/players/alex-anzalone-anzalal01,Shoulder,2017-10-04,2018-02-24,2017,14,1
/players/alex-anzalone-anzalal01,Shoulder,2021-12-20,2022-02-24,2021,3,3
/players/alex-anzalone-anzalal01,Undisclosed,2019-09-16,2020-02-24,2019,15,2
/players/alex-armah-armahal01,Undisclosed,2022-08-16,2022-08-22,2022,NULL,1
/players/alex-cappa-cappaal01,Ankle,2021-01-15,2021-02-24,2020,3,1
/players/alex-carter-carteal03,"Designated for Return",2015-09-06,2016-02-24,2015,NULL,1
/players/alex-collins-collial01,,2023-05-04,2024-02-24,2023,NULL,3
/players/alex-collins-collial01,Abdomen,2022-01-04,2022-02-24,2021,1,2
/players/alex-collins-collial01,Foot,2018-12-01,2019-02-24,2018,6,1
/players/alex-lewis-lewisal04,Ankle,2019-12-28,2020-02-24,2019,1,2
/players/alex-lewis-lewisal04,Shoulder,2017-09-01,2018-02-24,2017,NULL,1
/players/alex-mccalister-mccalal01,Calf,2016-08-28,2017-02-24,2016,16,1
/players/alex-mccalister-mccalal01,Hamstring,2017-09-03,2017-09-08,2017,NULL,2
/players/alex-mccalister-mccalal01,Undisclosed,2018-08-07,2018-08-13,2018,NULL,3
/players/alex-okafor-okafoal01,Achilles,2017-11-21,2018-02-24,2017,8,2
/players/alex-okafor-okafoal01,Biceps,2013-09-25,2014-02-24,2013,13,1
/players/alex-okafor-okafoal01,Hamstring,2020-10-24,2020-11-22,2020,3,4
/players/alex-okafor-okafoal01,Pectoral,2019-12-16,2020-02-24,2019,5,3
/players/alfred-blue-blueal01,Ankle,2019-09-01,2019-10-28,2019,8,1
