page,transdate,team,transaction,trans_year,trans_month
/players/ryan-jensen-jensery01,2013-05-03,Baltimore (NFL),Signed,2013,5
/players/aaron-mellette-melleaa01,2013-05-03,Baltimore (NFL),Signed,2013,5
/players/kyle-juszczyk-juszcky01,2013-05-03,Baltimore (NFL),Signed,2013,5
/players/kapron-lewismoore-lewiska01,2013-05-03,Baltimore (NFL),Signed,2013,5
/players/marc-anthony-anthoma01,2013-05-03,Baltimore (NFL),Signed,2013,5
/players/ricky-wagner-wagneri01,2013-05-03,Baltimore (NFL),Signed,2013,5
/players/khaseem-greene-greenkh01,2013-05-06,Chicago (NFL),Signed,2013,5
/players/jordan-mills-millsjo03,2013-05-08,Chicago (NFL),Signed,2013,5
/players/marquess-wilson-wilsoma06,2013-05-08,Chicago (NFL),Signed,2013,5
/players/marcus-cooper-coopema04,2013-05-09,San Francisco (NFL),Signed,2013,5
/players/rufus-johnson-johnsru03,2013-05-09,New Orleans (NFL),Signed,2013,5
/players/montori-hughes-hughemo01,2013-05-09,Indianapolis (NFL),Signed,2013,5
/players/tommy-bohanon-bohanto01,2013-05-09,NY Jets (NFL),Signed,2013,5
/players/carter-bykowski-bykowca01,2013-05-09,San Francisco (NFL),Signed,2013,5
/players/khaled-holmes-holmekh01,2013-05-09,Indianapolis (NFL),Signed,2013,5
/players/brian-winters-wintebr01,2013-05-09,NY Jets (NFL),Signed,2013,5
/players/justice-cunningham-cunniju01,2013-05-09,Indianapolis (NFL),Signed,2013,5
/players/tourek-williams-willito08,2013-05-09,San Diego (NFL),Signed,2013,5
/players/terron-armstead-armstte01,2013-05-09,New Orleans (NFL),Signed,2013,5
/players/jordan-poyer-poyerjo01,2013-05-09,Philadelphia (NFL),Signed,2013,5
/players/keenan-allen-allenke03,2013-05-09,San Diego (NFL),Signed,2013,5
/players/brad-sorensen-sorenbr01,2013-05-09,San Diego (NFL),Signed,2013,5
/players/zach-ertz-ertzza01,2013-05-09,Philadelphia (NFL),Signed,2013,5
/players/chris-gragg-graggch01,2013-05-09,Buffalo (NFL),Signed,2013,5
/players/kenny-vaccaro-vaccake01,2013-05-09,New Orleans (NFL),Signed,2013,5
/players/kenny-stills-stillke02,2013-05-09,New Orleans (NFL),Signed,2013,5
/players/nick-moody-moodyni01,2013-05-09,San Francisco (NFL),Signed,2013,5
/players/quinton-dial-dialqu01,2013-05-09,San Francisco (NFL),Signed,2013,5
/players/joe-kruger-krugejo01,2013-05-09,Philadelphia (NFL),Signed,2013,5
/players/vinston-painter-paintvi01,2013-05-09,Denver (NFL),Signed,2013,5
/players/john-boyett-boyetjo01,2013-05-09,Indianapolis (NFL),Signed,2013,5
/players/kerwynn-williams-willike18,2013-05-09,Indianapolis (NFL),Signed,2013,5
/players/bj-daniels-daniebj01,2013-05-09,San Francisco (NFL),Signed,2013,5
/players/earl-wolff-wolffea01,2013-05-09,Philadelphia (NFL),Signed,2013,5
/players/david-king-kingda04,2013-05-09,Philadelphia (NFL),Signed,2013,5
/players/manti-teo-teoma01,2013-05-09,San Diego (NFL),Signed,2013,5
/players/cornelius-washington-washico01,2013-05-09,Chicago (NFL),Signed,2013,5
/players/jonathan-bostic-bostijo04,2013-05-09,Chicago (NFL),Signed,2013,5
/players/hugh-thornton-thornhu01,2013-05-09,Indianapolis (NFL),Signed,2013,5
/players/sam-barrington-barrisa01,2013-05-10,Green Bay (NFL),Signed,2013,5
/players/alan-bonner-bonneal01,2013-05-10,Houston (NFL),Signed,2013,5
/players/dustin-hopkins-hopkidu01,2013-05-10,Buffalo (NFL),Signed,2013,5
/players/ryan-seymour-seymory01,2013-05-10,Seattle (NFL),Signed,2013,5
/players/ty-powell-powelty02,2013-05-10,Seattle (NFL),Signed,2013,5
/players/eric-kush-kusher01,2013-05-10,Kansas City (NFL),Signed,2013,5
/players/damontre-moore-mooreda05,2013-05-10,NY Giants (NFL),Signed,2013,5
/players/josh-boyd-boydjo01,2013-05-10,Green Bay (NFL),Signed,2013,5
/players/sam-martin-martisa03,2013-05-10,Detroit (NFL),Signed,2013,5
/players/luke-willson-willslu01,2013-05-10,Seattle (NFL),Signed,2013,5
/players/jordan-hill-hilljo03,2013-05-10,Seattle (NFL),Signed,2013,5
/players/micah-hyde-hydemi01,2013-05-10,Green Bay (NFL),Signed,2013,5
/players/tavarres-king-kingta01,2013-05-10,Denver (NFL),Signed,2013,5
/players/ryan-swope-swopery01,2013-05-10,Arizona (NFL),Signed,2013,5
/players/darius-slay-slayda01,2013-05-10,Detroit (NFL),Signed,2013,5
/players/cooper-taylor-tayloco04,2013-05-10,NY Giants (NFL),Signed,2013,5
/players/david-quessenberry-quessda01,2013-05-10,Houston (NFL),Signed,2013,5
/players/reid-fragel-fragere01,2013-05-10,Cincinnati (NFL),Signed,2013,5
/players/brandon-hepburn-hepbubr01,2013-05-10,Detroit (NFL),Signed,2013,5
/players/kevin-dorsey-dorseke02,2013-05-10,Green Bay (NFL),Signed,2013,5
/players/jared-smith-smithja12,2013-05-10,Seattle (NFL),Signed,2013,5
/players/marquise-goodwin-goodwma02,2013-05-10,Buffalo (NFL),Signed,2013,5
/players/johnathan-hankins-hankijo01,2013-05-10,NY Giants (NFL),Signed,2013,5
/players/quanterus-smith-smithqu03,2013-05-10,Denver (NFL),Signed,2013,5
/players/devonte-holloman-hollode02,2013-05-10,Dallas (NFL),Signed,2013,5
/players/nate-palmer-palmena02,2013-05-10,Green Bay (NFL),Signed,2013,5
/players/devin-taylor-taylode03,2013-05-10,Detroit (NFL),Signed,2013,5
/players/chris-jones-jonesch11,2013-05-10,Houston (NFL),Signed,2013,5
/players/theo-riddick-riddith01,2013-05-10,Detroit (NFL),Signed,2013,5
/players/ryan-griffin-griffry01,2013-05-10,Houston (NFL),Signed,2013,5
/players/johnathan-franklin-frankjo04,2013-05-10,Green Bay (NFL),Signed,2013,5
/players/mike-catapano-catapmi01,2013-05-10,Kansas City (NFL),Signed,2013,5
/players/andre-ellington-ellinan01,2013-05-10,Arizona (NFL),Signed,2013,5
/players/michael-williams-willimi18,2013-05-10,Detroit (NFL),Signed,2013,5
/players/jesse-williams-willije07,2013-05-10,Seattle (NFL),Signed,2013,5
/players/chris-harper-harpech02,2013-05-10,Seattle (NFL),Signed,2013,5
/players/larry-warford-warfola01,2013-05-10,Detroit (NFL),Signed,2013,5
/players/duke-williams-willidu01,2013-05-10,Buffalo (NFL),Signed,2013,5
/players/stepfan-taylor-taylost05,2013-05-10,Arizona (NFL),Signed,2013,5
/players/jc-tretter-trettjc01,2013-05-10,Green Bay (NFL),Signed,2013,5
/players/john-jenkins-jenkijo03,2013-05-10,New Orleans (NFL),Signed,2013,5
/players/ezekiel-ansah-ansahez01,2013-05-10,Detroit (NFL),Signed,2013,5
/players/william-campbell-campbwi01,2013-05-10,NY Jets (NFL),Signed,2013,5
/players/dc-jefferson-jeffedc01,2013-05-10,Arizona (NFL),Signed,2013,5
/players/charles-johnson-johnsch23,2013-05-10,Green Bay (NFL),Signed,2013,5
/players/oday-aboushi-abousod01,2013-05-10,NY Jets (NFL),Signed,2013,5
/players/michael-cox-coxmi02,2013-05-10,NY Giants (NFL),Signed,2013,5
/players/tj-johnson-johnstj01,2013-05-10,Cincinnati (NFL),Signed,2013,5
/players/david-bakhtiari-bakhtda01,2013-05-10,Green Bay (NFL),Signed,2013,5
/players/jonathan-meeks-meeksjo01,2013-05-10,Buffalo (NFL),Signed,2013,5
/players/corey-fuller-fulleco02,2013-05-10,Detroit (NFL),Signed,2013,5
/players/cobi-hamilton-hamilco02,2013-05-11,Cincinnati (NFL),Signed,2013,5
/players/steve-williams-willist08,2013-05-11,San Diego (NFL),Signed,2013,5
/players/mike-james-jamesmi04,2013-05-13,Tampa Bay (NFL),Signed,2013,5
/players/rex-burkhead-burkhre01,2013-05-13,Cincinnati (NFL),Signed,2013,5
/players/bacarri-rambo-ramboba01,2013-05-13,Washington (NFL),Signed,2013,5
/players/kevin-minter-minteke01,2013-05-13,Arizona (NFL),Signed,2013,5
/players/brandon-jenkins-jenkibr02,2013-05-13,Washington (NFL),Signed,2013,5
/players/joseph-randle-randljo02,2013-05-13,Dallas (NFL),Signed,2013,5
/players/sean-porter-portese01,2013-05-13,Cincinnati (NFL),Signed,2013,5
/players/steven-means-meansst01,2013-05-13,Tampa Bay (NFL),Signed,2013,5
/players/knile-davis-daviskn01,2013-05-13,Kansas City (NFL),Signed,2013,5
/players/zac-dysert-dyserza01,2013-05-13,Denver (NFL),Signed,2013,5
/players/everett-dawkins-dawkiev01,2013-05-14,Minnesota (NFL),Signed,2013,5
/players/william-gholston-gholswi01,2013-05-14,Tampa Bay (NFL),Signed,2013,5
/players/bw-webb-webbbw01,2013-05-14,Dallas (NFL),Signed,2013,5
/players/jelani-jenkins-jenkije01,2013-05-14,Miami (NFL),Signed,2013,5
/players/duron-harmon-harmodu01,2013-05-14,New England (NFL),Signed,2013,5
/players/gerald-hodges-hodgege01,2013-05-14,Minnesota (NFL),Signed,2013,5
/players/michael-mauti-mautimi01,2013-05-14,Minnesota (NFL),Signed,2013,5
/players/caleb-sturgis-sturgca01,2013-05-14,Miami (NFL),Signed,2013,5
/players/tanner-hawkinson-hawkita01,2013-05-14,Cincinnati (NFL),Signed,2013,5
/players/don-jones-jonesdo09,2013-05-14,Miami (NFL),Signed,2013,5
/players/jeff-baca-bacaje01,2013-05-15,Minnesota (NFL),Signed,2013,5
/players/akeem-spence-spencak01,2013-05-15,Tampa Bay (NFL),Signed,2013,5
/players/jeff-locke-lockeje01,2013-05-15,Minnesota (NFL),Signed,2013,5
/players/braden-wilson-wilsobr03,2013-05-15,Kansas City (NFL),Signed,2013,5
/players/chris-thompson-thompch05,2013-05-15,Washington (NFL),Signed,2013,5
/players/travis-bond-bondtr01,2013-05-15,Minnesota (NFL),Signed,2013,5
/players/kiko-alonso-alonski01,2013-05-15,Buffalo (NFL),Signed,2013,5
/players/jawan-jamison-jamisja01,2013-05-16,Washington (NFL),Signed,2013,5
/players/shamarko-thomas-thomash01,2013-05-16,Pittsburgh (NFL),Signed,2013,5
/players/logan-ryan-ryanlo01,2013-05-16,New England (NFL),Signed,2013,5
/players/spencer-ware-waresp01,2013-05-16,Seattle (NFL),Signed,2013,5
/players/trevardo-williams-willitr10,2013-05-16,Houston (NFL),Signed,2013,5
/players/kyle-long-longky01,2013-05-17,Chicago (NFL),Signed,2013,5
/players/david-amerson-amersda01,2013-05-17,Washington (NFL),Signed,2013,5
/players/steve-beauharnais-beauhst01,2013-05-17,New England (NFL),Signed,2013,5
/players/zeke-motta-mottaze01,2013-05-17,Atlanta (NFL),Signed,2013,5
/players/dion-sims-simsdi01,2013-05-17,Miami (NFL),Signed,2013,5
/players/jamie-collins-collija02,2013-05-17,New England (NFL),Signed,2013,5
/players/stansly-maponga-maponst01,2013-05-17,Atlanta (NFL),Signed,2013,5
/players/kemal-ishmael-ishmake01,2013-05-17,Atlanta (NFL),Signed,2013,5
/players/phillip-thomas-thomaph02,2013-05-17,Washington (NFL),Signed,2013,5
/players/malliciah-goodman-goodmma01,2013-05-17,Atlanta (NFL),Signed,2013,5
/players/jeremy-harris-harrije04,2013-05-20,Jacksonville (NFL),Signed,2013,5
/players/mike-gillislee-gillimi01,2013-05-20,Miami (NFL),Signed,2013,5
/players/robert-woods-woodsro06,2013-05-20,Buffalo (NFL),Signed,2013,5
/players/christine-michael-michach01,2013-05-20,Seattle (NFL),Signed,2013,5
/players/vince-williams-willivi02,2013-05-20,Pittsburgh (NFL),Signed,2013,5
/players/levine-toilolo-toilole01,2013-05-21,Atlanta (NFL),Signed,2013,5
/players/jamoris-slaughter-slaugja02,2013-05-21,Cleveland (NFL),Signed,2013,5
/players/john-simon-simonjo03,2013-05-21,Baltimore (NFL),Signed,2013,5
/players/quinton-patton-pattoqu01,2013-05-22,San Francisco (NFL),Signed,2013,5
/players/demetrius-mccray-mccrade01,2013-05-22,Jacksonville (NFL),Signed,2013,5
/players/eric-herman-hermaer01,2013-05-22,NY Giants (NFL),Signed,2013,5
/players/margus-hunt-huntma01,2013-05-22,Cincinnati (NFL),Signed,2013,5
/players/kawann-short-shortka01,2013-05-22,Carolina (NFL),Signed,2013,5
/players/edmund-kugbila-kugbied01,2013-05-23,Carolina (NFL),Signed,2013,5
/players/kenjon-barner-barneke03,2013-05-23,Carolina (NFL),Signed,2013,5
/players/tyrann-mathieu-mathity01,2013-05-23,Arizona (NFL),Signed,2013,5
/players/vance-mcdonald-mcdonva01,2013-05-23,San Francisco (NFL),Signed,2013,5
