,page,transdate,team,transaction
25097,/players/aaron-banks-banksaa01,2021-05-13,San Francisco (NFL),Signed
12469,/players/aaron-burbridge-burbraa01,2016-05-06,San Francisco (NFL),Signed
12468,/players/aaron-burbridge-burbraa01,2017-09-02,San Francisco (NFL),Placed on Injured Reserve (Hamstring)
12467,/players/aaron-burbridge-burbraa01,2018-09-01,San Francisco (NFL),Waived (injured)
12466,/players/aaron-burbridge-burbraa01,2018-09-02,San Francisco (NFL),Placed on Injured Reserve (Hamstring)
12465,/players/aaron-burbridge-burbraa01,2018-09-12,San Francisco (NFL),Waived from Injured Reserve
12464,/players/aaron-burbridge-burbraa01,2018-10-23,San Francisco (NFL),Signed to the Practice Squad
12463,/players/aaron-burbridge-burbraa01,2018-11-01,San Francisco (NFL),Released from the Practice Squad
12462,/players/aaron-burbridge-burbraa01,2019-01-24,Denver (NFL),Signed to a future contract
12461,/players/aaron-burbridge-burbraa01,2019-07-17,Denver (NFL),Waived
4270,/players/aaron-colvin-colviaa01,2014-05-21,Jacksonville (NFL),Signed
4269,/players/aaron-colvin-colviaa01,2014-08-26,Jacksonville (NFL),Placed on the Non-Football Injury List (Knee)
4268,/players/aaron-colvin-colviaa01,2014-11-11,Jacksonville (NFL),Activated from the Reserve/Non-Football Injury List
4267,/players/aaron-colvin-colviaa01,2016-09-03,Jacksonville (NFL),Placed on the Reserve/Suspended List
4266,/players/aaron-colvin-colviaa01,2016-10-10,Jacksonville (NFL),Activated from the Reserve/Suspended List
4265,/players/aaron-colvin-colviaa01,2016-12-23,Jacksonville (NFL),Placed on Injured Reserve (Ankle)
4264,/players/aaron-colvin-colviaa01,2018-03-16,Houston (NFL),Signed
4263,/players/aaron-colvin-colviaa01,2019-09-11,Houston (NFL),Released
4262,/players/aaron-colvin-colviaa01,2019-09-13,Washington (NFL),Signed
4261,/players/aaron-colvin-colviaa01,2020-05-14,Washington (NFL),Signed
4260,/players/aaron-colvin-colviaa01,2020-09-05,Washington (NFL),Released
4259,/players/aaron-colvin-colviaa01,2020-09-06,Washington (NFL),Signed to the Practice Squad
658,/players/aaron-dobson-dobsoaa01,2013-06-20,New England (NFL),Signed
657,/players/aaron-dobson-dobsoaa01,2014-12-04,New England (NFL),Placed on Injured Reserve (Hamstring)
656,/players/aaron-dobson-dobsoaa01,2015-11-26,New England (NFL),Placed on Injured Reserve (Ankle)
655,/players/aaron-dobson-dobsoaa01,2016-09-03,New England (NFL),Waived
654,/players/aaron-dobson-dobsoaa01,2016-09-21,Detroit (NFL),Signed
653,/players/aaron-dobson-dobsoaa01,2016-09-24,Detroit (NFL),Waived
652,/players/aaron-dobson-dobsoaa01,2016-09-27,Detroit (NFL),Signed
651,/players/aaron-dobson-dobsoaa01,2016-10-08,Detroit (NFL),Waived
650,/players/aaron-dobson-dobsoaa01,2017-01-05,Arizona (NFL),Signed to a future contract
649,/players/aaron-dobson-dobsoaa01,2017-09-02,Arizona (NFL),Placed on Injured Reserve (Hamstring)
648,/players/aaron-dobson-dobsoaa01,2017-09-06,Arizona (NFL),Released from Injured Reserve
3044,/players/aaron-donald-donalaa01,2014-06-12,St. Louis (NFL),Signed
3043,/players/aaron-donald-donalaa01,2017-07-29,LA Rams (NFL),Placed on the Reserve/Did Not Report List
3042,/players/aaron-donald-donalaa01,2017-09-09,LA Rams (NFL),Reinstated
3041,/players/aaron-donald-donalaa01,2018-07-27,LA Rams (NFL),Placed on the Reserve/Did Not Report List
3040,/players/aaron-donald-donalaa01,2018-09-08,LA Rams (NFL),Reinstated
15371,/players/aaron-jones-jonesaa02,2017-05-05,Green Bay (NFL),Signed
15370,/players/aaron-jones-jonesaa02,2018-09-01,Green Bay (NFL),Placed on the Reserve/Suspended List
15369,/players/aaron-jones-jonesaa02,2018-09-17,Green Bay (NFL),Activated from the Reserve/Suspended List
15368,/players/aaron-jones-jonesaa02,2018-12-18,Green Bay (NFL),Placed on Injured Reserve (Knee)
15367,/players/aaron-jones-jonesaa02,2021-03-26,Green Bay (NFL),Re-signed
15366,/players/aaron-jones-jonesaa02,2024-03-11,Green Bay (NFL),Released
15365,/players/aaron-jones-jonesaa02,2024-03-15,Minnesota (NFL),Signed
4777,/players/aaron-lynch-lynchaa01,2014-05-13,San Francisco (NFL),Signed
4776,/players/aaron-lynch-lynchaa01,2016-09-03,San Francisco (NFL),Placed on the Reserve/Suspended List
4775,/players/aaron-lynch-lynchaa01,2016-10-06,San Francisco (NFL),Activated from the Reserve/Suspended List
4774,/players/aaron-lynch-lynchaa01,2018-03-16,Chicago (NFL),Signed
4773,/players/aaron-lynch-lynchaa01,2019-04-02,Chicago (NFL),Re-signed
4772,/players/aaron-lynch-lynchaa01,2020-05-05,Jacksonville (NFL),Signed
4771,/players/aaron-lynch-lynchaa01,2020-08-18,Jacksonville (NFL),Placed on the Reserve/Retired List
4770,/players/aaron-lynch-lynchaa01,2020-10-21,Jacksonville (NFL),Reinstated
2727,/players/aaron-mellette-melleaa01,2013-05-03,Baltimore (NFL),Signed
2726,/players/aaron-mellette-melleaa01,2013-09-11,Baltimore (NFL),Placed on Injured Reserve (Knee)
2725,/players/aaron-mellette-melleaa01,2014-06-17,Baltimore (NFL),Waived
4975,/players/aaron-murray-murraaa01,2014-05-21,Kansas City (NFL),Signed
4974,/players/aaron-murray-murraaa01,2016-09-03,Kansas City (NFL),Waived
4973,/players/aaron-murray-murraaa01,2016-09-06,Arizona (NFL),Signed to the Practice Squad
4972,/players/aaron-murray-murraaa01,2016-09-12,Arizona (NFL),Released from the Practice Squad
4971,/players/aaron-murray-murraaa01,2016-09-13,Philadelphia (NFL),Signed to the Practice Squad
4970,/players/aaron-murray-murraaa01,2017-03-23,LA Rams (NFL),Signed
4969,/players/aaron-murray-murraaa01,2017-05-11,LA Rams (NFL),Waived
8770,/players/aaron-ripkowski-ripkoaa01,2015-05-08,Green Bay (NFL),Signed
8769,/players/aaron-ripkowski-ripkoaa01,2018-09-01,Green Bay (NFL),Waived
8768,/players/aaron-ripkowski-ripkoaa01,2019-01-31,Kansas City (NFL),Signed to a future contract
8767,/players/aaron-ripkowski-ripkoaa01,2019-05-03,Kansas City (NFL),Waived
25194,/players/aaron-robinson-robinaa01,2021-05-27,NY Giants (NFL),Signed
25193,/players/aaron-robinson-robinaa01,2021-08-31,NY Giants (NFL),Placed on the Physically Unable to Perform List (Core Muscle)
25192,/players/aaron-robinson-robinaa01,2021-11-01,NY Giants (NFL),Activated from the Physically Unable to Perform List
25191,/players/aaron-robinson-robinaa01,2021-12-15,NY Giants (NFL),Placed on COVID-19 List
25190,/players/aaron-robinson-robinaa01,2021-12-25,NY Giants (NFL),Activated from the Reserve/COVID-19 List
25189,/players/aaron-robinson-robinaa01,2022-10-04,NY Giants (NFL),Placed on Injured Reserve (Knee)
25188,/players/aaron-robinson-robinaa01,2023-08-29,NY Giants (NFL),Placed on the Physically Unable to Perform List (Knee)
12647,/players/aaron-wallace-wallaaa02,2016-05-09,Tennessee (NFL),Signed
12646,/players/aaron-wallace-wallaaa02,2017-09-20,Tennessee (NFL),Placed on Injured Reserve (Back)
12645,/players/aaron-wallace-wallaaa02,2018-09-18,Tennessee (NFL),Waived
12644,/players/aaron-wallace-wallaaa02,2018-11-20,Cincinnati (NFL),Signed to the Practice Squad
12643,/players/aaron-wallace-wallaaa02,2018-12-28,Denver (NFL),Signed from the Cincinnati Bengals practice squad
12642,/players/aaron-wallace-wallaaa02,2019-08-21,Denver (NFL),Waived (injured)
12641,/players/aaron-wallace-wallaaa02,2019-08-23,Denver (NFL),Placed on Injured Reserve (Hamstring)
12640,/players/aaron-wallace-wallaaa02,2019-08-27,Denver (NFL),Waived from Injured Reserve
26765,/players/abraham-lucas-lucasab01,2022-05-25,Seattle (NFL),Signed
26764,/players/abraham-lucas-lucasab01,2023-09-13,Seattle (NFL),Placed on Injured Reserve (Knee)
26763,/players/abraham-lucas-lucasab01,2023-11-15,Seattle (NFL),Designated for return from Injured Reserve
26762,/players/abraham-lucas-lucasab01,2023-11-30,Seattle (NFL),Activated from Injured Reserve
1161,/players/ace-sanders-sandeac01,2013-07-15,Jacksonville (NFL),Signed
1160,/players/ace-sanders-sandeac01,2014-09-01,Jacksonville (NFL),Placed on the Reserve/Suspended List
1159,/players/ace-sanders-sandeac01,2014-10-04,Jacksonville (NFL),Activated from the Reserve/Suspended List
1158,/players/ace-sanders-sandeac01,2015-07-17,Jacksonville (NFL),Waived
