player,position,1,2,3,4,5,6,7,8,9,10,11
A'Shawn Robinson,DT,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Knee,Healthy,,,
A.J. Brown,WR,Healthy,Healthy,Chest,Healthy,Healthy,,,,,,
A.J. Cann,OG,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,,,
A.J. Derby,TE,,Healthy,Shoulder,Foot,Healthy,,,,,,
A.J. Epenesa,DE,Healthy,Healthy,Healthy,Healthy,,,,,,,
A.J. Klein,LB,Healthy,Healthy,Healthy,Healthy,Groin,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
A.J. McCarron,QB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,,
A.J. Terrell,DB,Healthy,Healthy,Healthy,Healthy,,,,,,,
A.T. Perry,WR,Healthy,,,,,,,,,,
AJ Arcuri,OT,Healthy,Healthy,,,,,,,,,
AJ Dillon,RB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Aaron Banks,OG,Healthy,Healthy,Healthy,,,,,,,,
Aaron Burbridge,WR,Healthy,Hamstring,Hamstring,,,,,,,,
Aaron Colvin,DB,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,,,,,
Aaron Dobson,WR,Healthy,Hamstring,Ankle,Healthy,Hamstring,,,,,,
Aaron Donald,DT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Aaron Jones,RB,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Aaron Lynch,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Aaron Mellette,WR,Knee,,,,,,,,,,
Aaron Murray,QB,Healthy,Healthy,Healthy,,,,,,,,
Aaron Ripkowski,RB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Aaron Robinson,DB,Core Muscle,Knee,,,,,,,,,
Aaron Wallace,LB,Healthy,Back,Healthy,Hamstring,,,,,,,
Abraham Lucas,OT,Healthy,Knee,,,,,,,,,
Ace Sanders,WR,Healthy,Healthy,,,,,,,,,
Adam Bisnowaty,OT,Healthy,Healthy,Healthy,,,,,,,,
Adam Gotsis,DE,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,,,
Adam Shaheen,TE,Healthy,Ankle,Foot,Healthy,Healthy,,,,,,
Adam Trautman,TE,Healthy,Knee,Healthy,Healthy,,,,,,,
Ade Aruna,DE,Knee,,,,,,,,,,
Adetokunbo Ogundeji,LB,Healthy,Healthy,Foot,,,,,,,,
Adetomiwa Adebawore,DT,Healthy,,,,,,,,,,
Adolphus Washington,DT,Healthy,Healthy,Knee,Healthy,,,,,,,
Adoree' Jackson,DB,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,,,,
Adrian Amos,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Adrian Colbert,DB,Healthy,Ankle,Hamstring,Shoulder,Healthy,Healthy,Undisclosed,,,,
Ahkello Witherspoon,DB,Healthy,Knee,Healthy,Healthy,Healthy,Hamstring,Healthy,,,,
Ahmad Dixon,DB,Healthy,,,,,,,,,,
Ahmad Gardner,DB,Healthy,Healthy,,,,,,,,,
Aidan Hutchinson,DE,Healthy,Healthy,,,,,,,,,
Aidan O'Connell,QB,Healthy,,,,,,,,,,
Akayleb Evans,DB,Concussion,Healthy,,,,,,,,,
Akeem Davis,LB,Healthy,Foot,Healthy,Healthy,,,,,,,
Akeem King,DB,Healthy,Foot,Healthy,Healthy,Healthy,,,,,,
Akeem Spence,DT,Healthy,Healthy,Back,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Al-Quadin Muhammad,DE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Alan Bonner,WR,Hamstring,,Healthy,,,,,,,,
Albert Okwuegbunam,TE,Knee,Hamstring,Healthy,Hamstring,,,,,,,
Alec Ogletree,LB,Healthy,Healthy,Leg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Alec Pierce,WR,Healthy,Healthy,,,,,,,,,
Alex Anzalone,LB,Shoulder,Healthy,Undisclosed,Healthy,Shoulder,Healthy,Healthy,,,,
Alex Armah,RB,Healthy,Healthy,Healthy,Healthy,Healthy,Undisclosed,Healthy,,,,
Alex Austin,DB,Healthy,,,,,,,,,,
Alex Cappa,OG,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,,,,,
Alex Carter,DB,,Healthy,Healthy,Healthy,,,,,,,
Alex Collins,RB,Healthy,Healthy,Foot,,Healthy,Abdomen,,,,,
Alex Forsyth,C,Healthy,,,,,,,,,,
Alex Highsmith,LB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Alex Leatherwood,OG,Healthy,Healthy,Healthy,,,,,,,,
Alex Lewis,OG,Healthy,,Healthy,Ankle,Healthy,Healthy,,,,,
Alex McCalister,DE,Calf,Hamstring,,,,,,,,,
Alex McGough,QB,Healthy,Healthy,,Healthy,,,,,,,
Alex Okafor,DE,Biceps,Healthy,Healthy,Healthy,Achilles,Healthy,Pectoral,Hamstring,Healthy,,
Alex Wright,DE,Healthy,Healthy,,,,,,,,,
Alexander Horvath,RB,Healthy,Healthy,,,,,,,,,
Alexander Mattison,RB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Alfred Blue,RB,Healthy,Healthy,Healthy,Healthy,Healthy,Ankle,,,,,
Ali Marpet,OG,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,,,,
Alijah Vera-Tucker,OG,Healthy,Triceps,Achilles,,,,,,,,
Alim McNeill,DT,Healthy,Healthy,Knee,,,,,,,,
Alizé Mack,TE,Healthy,,Healthy,Undisclosed,,,,,,,
Allen Robinson,WR,Foot,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Foot,Healthy,
Alohi Gilman,DB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Alontae Taylor,DB,Knee,Healthy,,,,,,,,,
Alton Robinson,DE,Healthy,Healthy,Knee,,,,,,,,
Alvin Dupree,LB,Healthy,Groin,Healthy,Healthy,Healthy,Knee,Abdomen,Pectoral,Healthy,,
Alvin Kamara,RB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Amani Hooker,DB,Healthy,Healthy,Foot,Healthy,Knee,,,,,,
Amani Oruwariye,DB,Healthy,Healthy,Thumb,Healthy,Healthy,,,,,,
Amara Darboh,WR,Healthy,,Healthy,,,,,,,,
Amari Burney,LB,Healthy,,,,,,,,,,
Amari Cooper,WR,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Amari Rodgers,WR,Healthy,Healthy,Healthy,,,,,,,,
Amarlo Herrera,LB,Healthy,Healthy,,,,,,,,,
Amaré Barno,LB,Healthy,Knee,,,,,,,,,
Ambry Thomas,DB,Healthy,Healthy,Healthy,,,,,,,,
Ameer Abdullah,RB,Healthy,Foot,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Ameer Speed,DB,Healthy,,,,,,,,,,
Amik Robertson,DB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Amon-Ra St. Brown,WR,Healthy,Healthy,Healthy,,,,,,,,
Anders Carlson,K,Healthy,,,,,,,,,,
Andre Anthony,LB,Healthy,,,,,,,,,,
Andre Cisco,DB,Healthy,Healthy,Healthy,,,,,,,,
Andre Debose,WR,,Undisclosed,,,,,,,,,
Andre Dillard,OT,Healthy,,Healthy,Forearm,Healthy,,,,,,
Andre Ellington,RB,Healthy,Hernia,Healthy,Healthy,Healthy,,Healthy,,,,
Andre Hal,DB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Andre Jones,DE,Healthy,,,,,,,,,,
Andre Smith,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Andre Williams,RB,Healthy,Healthy,Healthy,Wrist,,,,,,,
Andrei Iosivas,WR,Healthy,,,,,,,,,,
Andrew Billings,DT,,Healthy,Healthy,Healthy,,Healthy,Healthy,Healthy,,,
Andrew Booth,DB,Knee,Healthy,,,,,,,,,
Andrew Brown,DE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Andrew Donnal,OG,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Andrew Jackson,LB,Healthy,,,,,,,,,,
Andrew Ogletree,TE,Knee,Healthy,,,,,,,,,
Andrew Stueber,OT,,Healthy,,,,,,,,,
Andrew Thomas,OT,Healthy,Ankle,Healthy,Healthy,,,,,,,
Andrew Van Ginkel,LB,Foot,Healthy,Healthy,Healthy,Foot,,,,,,
Andrew Vorhees,OG,Healthy,,,,,,,,,,
Andrus Peat,OG,Healthy,Healthy,Leg,Healthy,Healthy,Healthy,Pectoral,Healthy,Healthy,,
Andy Gallik,C,Healthy,Knee,,,,,,,,,
Andy Isabella,WR,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Andy Janovich,RB,Ankle,Healthy,Healthy,Elbow,Healthy,Hamstring,Healthy,,,,
Anfernee Jennings,LB,Healthy,,Healthy,Healthy,,,,,,,
Angelo Blackson,DE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Anthony Averett,DB,Healthy,Healthy,Shoulder,Healthy,Thumb,,,,,,
Anthony Barr,LB,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Pectoral,Healthy,Healthy,Healthy,
Anthony Bradford,OG,Healthy,,,,,,,,,,
Anthony Brown,DB,Healthy,Healthy,Healthy,Triceps,Ribs,Healthy,Achilles,Healthy,,,
Anthony Chickillo,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Anthony Hitchens,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Anthony Johnson,DB,Healthy,,,,,,,,,,
Anthony McFarland,RB,Healthy,Undisclosed,Healthy,Healthy,,,,,,,
Anthony Miller,WR,Healthy,Healthy,Healthy,Healthy,,Healthy,,,,,
Anthony Morris,OT,Undisclosed,,,,,,,,,,
