year,round,pick,team,player,page,position,season,transdate,transaction,trans_year,trans_month,tran_month,season_num
2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2013,,,,,9.0,1
2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2014,,,,,9.0,2
2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2015,,,,,9.0,3
2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2016,,,,,9.0,4
2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2017,,,,,9.0,5
2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2018,,,,,9.0,6
2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2019,,,,,9.0,7
2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2020,,,,,9.0,8
2013,1,1,Kansas City Chiefs,Eric Fisher,/players/eric-fisher-fisheer01,OT,2021,,,,,9.0,9
2013,1,2,Jacksonville Jaguars,Luke Joeckel,/players/luke-joeckel-joecklu01,OT,2013,,,,,9.0,1
2013,1,2,Jacksonville Jaguars,Luke Joeckel,/players/luke-joeckel-joecklu01,OT,2014,,,,,9.0,2
2013,1,2,Jacksonville Jaguars,Luke Joeckel,/players/luke-joeckel-joecklu01,OT,2015,,,,,9.0,3
2013,1,2,Jacksonville Jaguars,Luke Joeckel,/players/luke-joeckel-joecklu01,OT,2016,,,,,9.0,4
2013,1,2,Jacksonville Jaguars,Luke Joeckel,/players/luke-joeckel-joecklu01,OT,2017,,,,,9.0,5
2013,1,3,Miami Dolphins,Dion Jordan,/players/dion-jordan-jordadi01,DE,2013,,,,,9.0,1
2013,1,3,Miami Dolphins,Dion Jordan,/players/dion-jordan-jordadi01,DE,2014,,,,,9.0,2
2013,1,3,Miami Dolphins,Dion Jordan,/players/dion-jordan-jordadi01,DE,2017,,,,,9.0,5
2013,1,3,Miami Dolphins,Dion Jordan,/players/dion-jordan-jordadi01,DE,2018,,,,,9.0,6
2013,1,3,Miami Dolphins,Dion Jordan,/players/dion-jordan-jordadi01,DE,2019,,,,,9.0,7
2013,1,3,Miami Dolphins,Dion Jordan,/players/dion-jordan-jordadi01,DE,2020,,,,,9.0,8
2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2013,,,,,9.0,1
2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2014,,,,,9.0,2
2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2015,,,,,9.0,3
2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2016,,,,,9.0,4
2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2017,,,,,9.0,5
2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2018,,,,,9.0,6
2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2019,,,,,9.0,7
2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2020,,,,,9.0,8
2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2021,,,,,9.0,9
2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2022,,,,,9.0,10
2013,1,4,Philadelphia Eagles,Lane Johnson,/players/lane-johnson-johnsla06,OT,2023,,,,,9.0,11
2013,1,5,Detroit Lions,Ezekiel Ansah,/players/ezekiel-ansah-ansahez01,DE,2013,,,,,9.0,1
2013,1,5,Detroit Lions,Ezekiel Ansah,/players/ezekiel-ansah-ansahez01,DE,2014,,,,,9.0,2
2013,1,5,Detroit Lions,Ezekiel Ansah,/players/ezekiel-ansah-ansahez01,DE,2015,,,,,9.0,3
2013,1,5,Detroit Lions,Ezekiel Ansah,/players/ezekiel-ansah-ansahez01,DE,2016,,,,,9.0,4
2013,1,5,Detroit Lions,Ezekiel Ansah,/players/ezekiel-ansah-ansahez01,DE,2017,,,,,9.0,5
2013,1,5,Detroit Lions,Ezekiel Ansah,/players/ezekiel-ansah-ansahez01,DE,2018,,,,,9.0,6
2013,1,5,Detroit Lions,Ezekiel Ansah,/players/ezekiel-ansah-ansahez01,DE,2019,,,,,9.0,7
2013,1,5,Detroit Lions,Ezekiel Ansah,/players/ezekiel-ansah-ansahez01,DE,2020,,,,,9.0,8
2013,1,6,Cleveland Browns,Barkevious Mingo,/players/barkevious-mingo-mingoba01,LB,2013,,,,,9.0,1
2013,1,6,Cleveland Browns,Barkevious Mingo,/players/barkevious-mingo-mingoba01,LB,2014,,,,,9.0,2
2013,1,6,Cleveland Browns,Barkevious Mingo,/players/barkevious-mingo-mingoba01,LB,2015,,,,,9.0,3
2013,1,6,Cleveland Browns,Barkevious Mingo,/players/barkevious-mingo-mingoba01,LB,2016,,,,,9.0,4
2013,1,6,Cleveland Browns,Barkevious Mingo,/players/barkevious-mingo-mingoba01,LB,2017,,,,,9.0,5
2013,1,6,Cleveland Browns,Barkevious Mingo,/players/barkevious-mingo-mingoba01,LB,2018,,,,,9.0,6
2013,1,6,Cleveland Browns,Barkevious Mingo,/players/barkevious-mingo-mingoba01,LB,2019,,,,,9.0,7
2013,1,6,Cleveland Browns,Barkevious Mingo,/players/barkevious-mingo-mingoba01,LB,2020,,,,,9.0,8
2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2013,,,,,9.0,1
2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2014,,,,,9.0,2
2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2015,,,,,9.0,3
2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2016,,,,,9.0,4
2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2017,,,,,9.0,5
2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2018,,,,,9.0,6
2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2019,,,,,9.0,7
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2013,,,,,9.0,1
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2014,,,,,9.0,2
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2015,,,,,9.0,3
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2016,,,,,9.0,4
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2017,,,,,9.0,5
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2018,,,,,9.0,6
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2019,,,,,9.0,7
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2020,,,,,9.0,8
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2021,,,,,9.0,9
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2022,,,,,9.0,10
2013,1,9,New York Jets,Dee Milliner,/players/dee-milliner-millide01,DB,2013,,,,,9.0,1
2013,1,9,New York Jets,Dee Milliner,/players/dee-milliner-millide01,DB,2014,,,,,9.0,2
