player|position|injury|practice_status|game_status|team|gamedate|year
Fred Beasley |RB|Back||Probable|49ers|THURSDAY, SEPTEMBER 5TH|2002
Fred Beasley |RB|Back||Probable|Giants|THURSDAY, SEPTEMBER 5TH|2002
Rod Gardner |WR|Shoulder||Probable|Redskins|THURSDAY, NOVEMBER 28TH|2002
Walter Rasby |TE|Abdomen||Probable|Redskins|THURSDAY, NOVEMBER 28TH|2002
Rod Gardner |WR|Shoulder||Probable|Cowboys|THURSDAY, NOVEMBER 28TH|2002
Walter Rasby |TE|Abdomen||Probable|Cowboys|THURSDAY, NOVEMBER 28TH|2002
David Givens |WR|Leg||Questionable|Patriots|THURSDAY, NOVEMBER 28TH|2002
David Givens |WR|Leg||Questionable|Lions|THURSDAY, NOVEMBER 28TH|2002
Chad Pennington |QB|Wrist||Out|Jets|THURSDAY, SEPTEMBER 4TH|2003
Chad Pennington |QB|Wrist||Out|Redskins|THURSDAY, SEPTEMBER 4TH|2003
Derrius Thompson |WR|Oblique||Probable|Dolphins|THURSDAY, NOVEMBER 27TH|2003
Jay Fiedler |QB|Knee||Probable|Dolphins|THURSDAY, NOVEMBER 27TH|2003
J.R. Tolver |WR|Knee||Out|Dolphins|THURSDAY, NOVEMBER 27TH|2003
Sam Simmons |WR|Ankle||Out|Dolphins|THURSDAY, NOVEMBER 27TH|2003
Derrius Thompson |WR|Oblique||Probable|Cowboys|THURSDAY, NOVEMBER 27TH|2003
Jay Fiedler |QB|Knee||Probable|Cowboys|THURSDAY, NOVEMBER 27TH|2003
J.R. Tolver |WR|Knee||Out|Cowboys|THURSDAY, NOVEMBER 27TH|2003
Sam Simmons |WR|Ankle||Out|Cowboys|THURSDAY, NOVEMBER 27TH|2003
Brett Favre |QB|Thumb||Probable|Packers|THURSDAY, NOVEMBER 27TH|2003
Brett Favre |QB|Thumb||Probable|Lions|THURSDAY, NOVEMBER 27TH|2003
James Mungro |RB|Wrist||Questionable|Colts|THURSDAY, SEPTEMBER 9TH|2004
Brad Pyatt |WR|Thigh||Questionable|Colts|THURSDAY, SEPTEMBER 9TH|2004
Troy Walters |WR|Wrist||Out|Colts|THURSDAY, SEPTEMBER 9TH|2004
Aaron Moorehead |WR|Ankle||Probable|Colts|THURSDAY, SEPTEMBER 9TH|2004
James Mungro |RB|Wrist||Questionable|Patriots|THURSDAY, SEPTEMBER 9TH|2004
Brad Pyatt |WR|Thigh||Questionable|Patriots|THURSDAY, SEPTEMBER 9TH|2004
Troy Walters |WR|Wrist||Out|Patriots|THURSDAY, SEPTEMBER 9TH|2004
Aaron Moorehead |WR|Ankle||Probable|Patriots|THURSDAY, SEPTEMBER 9TH|2004
Erron Kinney |TE|Calf||Questionable|Titans|THURSDAY, SEPTEMBER 9TH|2004
Tyrone Calico |WR|Knee||Out|Titans|THURSDAY, SEPTEMBER 9TH|2004
Jake Schifino |WR|Hamstring||Questionable|Titans|THURSDAY, SEPTEMBER 9TH|2004
Erron Kinney |TE|Calf||Questionable|Dolphins|THURSDAY, SEPTEMBER 9TH|2004
Tyrone Calico |WR|Knee||Out|Dolphins|THURSDAY, SEPTEMBER 9TH|2004
Jake Schifino |WR|Hamstring||Questionable|Dolphins|THURSDAY, SEPTEMBER 9TH|2004
Troy Walters |WR|Upper Arm Fracture||Questionable|Colts|THURSDAY, NOVEMBER 25TH|2004
Troy Walters |WR|Upper Arm Fracture||Questionable|Lions|THURSDAY, NOVEMBER 25TH|2004
James Thrash |WR|Hamstring||Probable|Redskins|SATURDAY, DECEMBER 18TH|2004
Laveranues Coles |WR|Toe||Probable|Redskins|SATURDAY, DECEMBER 18TH|2004
Robert Royal |TE|Back||Probable|Redskins|SATURDAY, DECEMBER 18TH|2004
James Thrash |WR|Hamstring||Probable|49ers|SATURDAY, DECEMBER 18TH|2004
Laveranues Coles |WR|Toe||Probable|49ers|SATURDAY, DECEMBER 18TH|2004
Robert Royal |TE|Back||Probable|49ers|SATURDAY, DECEMBER 18TH|2004
Casey Cramer |RB|Concussion||Doubtful|Panthers|SATURDAY, DECEMBER 18TH|2004
Nick Goings |RB|Ankle||Probable|Panthers|SATURDAY, DECEMBER 18TH|2004
Casey Cramer |RB|Concussion||Doubtful|Falcons|SATURDAY, DECEMBER 18TH|2004
Nick Goings |RB|Ankle||Probable|Falcons|SATURDAY, DECEMBER 18TH|2004
Duce Staley |RB|Hamstring||Questionable|Steelers|SATURDAY, DECEMBER 18TH|2004
Verron Haynes |RB|Knee||Questionable|Steelers|SATURDAY, DECEMBER 18TH|2004
Plaxico Burress |WR|Hamstring||Questionable|Steelers|SATURDAY, DECEMBER 18TH|2004
Duce Staley |RB|Hamstring||Questionable|Giants|SATURDAY, DECEMBER 18TH|2004
Verron Haynes |RB|Knee||Questionable|Giants|SATURDAY, DECEMBER 18TH|2004
Plaxico Burress |WR|Hamstring||Questionable|Giants|SATURDAY, DECEMBER 18TH|2004
Robert Ferguson |WR|Head, Neck||Out|Packers|FRIDAY, DECEMBER 24TH|2004
Robert Ferguson |WR|Head, Neck||Out|Vikings|FRIDAY, DECEMBER 24TH|2004
Kerry Collins |QB|Abdomen||Probable|Raiders|FRIDAY, DECEMBER 24TH|2004
Tyrone Wheatley |RB|Hamstring, Foot||Out|Raiders|FRIDAY, DECEMBER 24TH|2004
Courtney Anderson |TE|Knee||Doubtful|Raiders|FRIDAY, DECEMBER 24TH|2004
John Stone |WR|Hamstring||Probable|Raiders|FRIDAY, DECEMBER 24TH|2004
Kerry Collins |QB|Abdomen||Probable|Chiefs|FRIDAY, DECEMBER 24TH|2004
Tyrone Wheatley |RB|Hamstring, Foot||Out|Chiefs|FRIDAY, DECEMBER 24TH|2004
Courtney Anderson |TE|Knee||Doubtful|Chiefs|FRIDAY, DECEMBER 24TH|2004
John Stone |WR|Hamstring||Probable|Chiefs|FRIDAY, DECEMBER 24TH|2004
Reuben Droughns |RB|Neck, Knee||Probable|Broncos|FRIDAY, DECEMBER 24TH|2004
Triandos Luke |WR|Shoulder||Probable|Broncos|FRIDAY, DECEMBER 24TH|2004
Tatum Bell |RB|Shoulder||Probable|Broncos|FRIDAY, DECEMBER 24TH|2004
Kyle Johnson |RB|Ankle||Doubtful|Broncos|FRIDAY, DECEMBER 24TH|2004
Reuben Droughns |RB|Neck, Knee||Probable|Titans|FRIDAY, DECEMBER 24TH|2004
Triandos Luke |WR|Shoulder||Probable|Titans|FRIDAY, DECEMBER 24TH|2004
Tatum Bell |RB|Shoulder||Probable|Titans|FRIDAY, DECEMBER 24TH|2004
Kyle Johnson |RB|Ankle||Doubtful|Titans|FRIDAY, DECEMBER 24TH|2004
Wayne Chrebet |WR|Concussion||Probable|Jets|SATURDAY, JANUARY 8TH|2004
Wayne Chrebet |WR|Concussion||Probable|Chargers|SATURDAY, JANUARY 8TH|2004
Arlen Harris |RB|Hamstring||Doubtful|Rams|SATURDAY, JANUARY 8TH|2004
Isaac Bruce |WR|Hip||Probable|Rams|SATURDAY, JANUARY 8TH|2004
Arlen Harris |RB|Hamstring||Doubtful|Seahawks|SATURDAY, JANUARY 8TH|2004
Isaac Bruce |WR|Hip||Probable|Seahawks|SATURDAY, JANUARY 8TH|2004
Chad Pennington |QB|Illness||Probable|Jets|SATURDAY, JANUARY 15TH|2004
Chad Pennington |QB|Illness||Probable|Steelers|SATURDAY, JANUARY 15TH|2004
Steven Jackson |RB|Ribs||Probable|Rams|SATURDAY, JANUARY 15TH|2004
Arlen Harris |RB|Hamstring||Questionable|Rams|SATURDAY, JANUARY 15TH|2004
Isaac Bruce |WR|Groin, Hand||Probable|Rams|SATURDAY, JANUARY 15TH|2004
Steven Jackson |RB|Ribs||Probable|Falcons|SATURDAY, JANUARY 15TH|2004
Arlen Harris |RB|Hamstring||Questionable|Falcons|SATURDAY, JANUARY 15TH|2004
Isaac Bruce |WR|Groin, Hand||Probable|Falcons|SATURDAY, JANUARY 15TH|2004
Doug Gabriel |WR|Finger||Out|Raiders|THURSDAY, SEPTEMBER 8TH|2005
Justin Fargas |RB|Knee||Questionable|Raiders|THURSDAY, SEPTEMBER 8TH|2005
Jerry Porter |WR|Hamstring||Questionable|Raiders|THURSDAY, SEPTEMBER 8TH|2005
Doug Gabriel |WR|Finger||Out|Patriots|THURSDAY, SEPTEMBER 8TH|2005
Justin Fargas |RB|Knee||Questionable|Patriots|THURSDAY, SEPTEMBER 8TH|2005
Jerry Porter |WR|Hamstring||Questionable|Patriots|THURSDAY, SEPTEMBER 8TH|2005
Samie Parker |WR|Knee||Questionable|Chiefs|FRIDAY, OCTOBER 21ST|2005
Jason Dunn |TE|Knee||Probable|Chiefs|FRIDAY, OCTOBER 21ST|2005
Larry Johnson |RB|Quadricep||Probable|Chiefs|FRIDAY, OCTOBER 21ST|2005
Samie Parker |WR|Knee||Questionable|Dolphins|FRIDAY, OCTOBER 21ST|2005
Jason Dunn |TE|Knee||Probable|Dolphins|FRIDAY, OCTOBER 21ST|2005
Larry Johnson |RB|Quadricep||Probable|Dolphins|FRIDAY, OCTOBER 21ST|2005
Jeb Putzier |TE|Side/Shoulder||Probable|Broncos|THURSDAY, NOVEMBER 24TH|2005
Darius Watts |WR|Ankle||Probable|Broncos|THURSDAY, NOVEMBER 24TH|2005
Tatum Bell |RB|Chest||Questionable|Broncos|THURSDAY, NOVEMBER 24TH|2005
Jeb Putzier |TE|Side/Shoulder||Probable|Cowboys|THURSDAY, NOVEMBER 24TH|2005
Darius Watts |WR|Ankle||Probable|Cowboys|THURSDAY, NOVEMBER 24TH|2005
Tatum Bell |RB|Chest||Questionable|Cowboys|THURSDAY, NOVEMBER 24TH|2005
Peyton Manning |QB|Knee||Probable|Colts|SATURDAY, DECEMBER 24TH|2005
Marvin Harrison |WR|Hand||Questionable|Colts|SATURDAY, DECEMBER 24TH|2005
Peyton Manning |QB|Knee||Probable|Seahawks|SATURDAY, DECEMBER 24TH|2005
Marvin Harrison |WR|Hand||Questionable|Seahawks|SATURDAY, DECEMBER 24TH|2005
Ryan Neufeld |TE|Knee||Out|Bills|SATURDAY, DECEMBER 24TH|2005
J.P. Losman |QB|Shoulder||Probable|Bills|SATURDAY, DECEMBER 24TH|2005
Ryan Neufeld |TE|Knee||Out|Bengals|SATURDAY, DECEMBER 24TH|2005
J.P. Losman |QB|Shoulder||Probable|Bengals|SATURDAY, DECEMBER 24TH|2005
Jim Finn |RB|Ankle||Questionable|Giants|SATURDAY, DECEMBER 24TH|2005
Jim Finn |RB|Ankle||Questionable|Redskins|SATURDAY, DECEMBER 24TH|2005
Chris Brown |RB|Shoulder||Questionable|Titans|SATURDAY, DECEMBER 24TH|2005
Jarrett Payton |RB|Back||Questionable|Titans|SATURDAY, DECEMBER 24TH|2005
Erron Kinney |TE|Knee||Questionable|Titans|SATURDAY, DECEMBER 24TH|2005
Drew Bennett |WR|Knee||Questionable|Titans|SATURDAY, DECEMBER 24TH|2005
Travis Henry |RB|Ankle||Questionable|Titans|SATURDAY, DECEMBER 24TH|2005
Chris Brown |RB|Shoulder||Questionable|Dolphins|SATURDAY, DECEMBER 24TH|2005
Jarrett Payton |RB|Back||Questionable|Dolphins|SATURDAY, DECEMBER 24TH|2005
Erron Kinney |TE|Knee||Questionable|Dolphins|SATURDAY, DECEMBER 24TH|2005
Drew Bennett |WR|Knee||Questionable|Dolphins|SATURDAY, DECEMBER 24TH|2005
Travis Henry |RB|Ankle||Questionable|Dolphins|SATURDAY, DECEMBER 24TH|2005
Frank Gore |RB|Shoulder||Questionable|49ers|SATURDAY, DECEMBER 24TH|2005
Kevan Barlow |RB|||Questionable|49ers|SATURDAY, DECEMBER 24TH|2005
Frank Gore |RB|Shoulder||Questionable|Rams|SATURDAY, DECEMBER 24TH|2005
Kevan Barlow |RB|||Questionable|Rams|SATURDAY, DECEMBER 24TH|2005
Ben Roethlisberger |QB|Thumb||Probable|Steelers|SATURDAY, DECEMBER 24TH|2005
Tommy Maddox |QB|Illness||Probable|Steelers|SATURDAY, DECEMBER 24TH|2005
